Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A03",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",22.4,ddPCR Supermix for Probes (no dUTP),448,,,25.3,19.4,221,11517,6,215,203,11314,0.215,11738,,,,,,,,1.06,,,1.26,0.86,51.4,,,56.1,46.7,1,1,1486,4851.3,499.16,581.1,"",,,,23.9,20.9,,,,,,,1.16,0.96,,,53.8,49,
"B03",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",22.9,ddPCR Supermix for Probes (no dUTP),458,,,25.6,20.3,284,14425,8,276,256,14169,0.241,14709,,,,,,,,1.08,,,1.26,0.9,51.8,,,56,47.7,1,1,1486,4802.9,498.94,582.04,"",,,,24.3,21.6,,,,,,,1.17,0.98,,,54,49.7,
"C03",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",21.7,ddPCR Supermix for Probes (no dUTP),434,,,24.3,19.1,263,14141,5,258,265,13876,0.00595,14404,,,,,,,,0.97,,,1.14,0.81,49.3,,,53.6,45.1,1,1,1486,4815.1,496.27,575.13,"",,,,23,20.3,,,,,,,1.06,0.89,,,51.5,47.2,
"D03",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",33,ddPCR Supermix for Probes (no dUTP),660,,,38,27,129,4561,1,128,81,4480,0,4690,,,,,,,,1.58,,,2.02,1.14,61,,,68,55,1,1,1349,2974.8,432.55,502.48,"",,,,35.7,29.9,,,,,,,1.81,1.36,,,64.6,57.9,
"E03",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",24.4,ddPCR Supermix for Probes (no dUTP),488,,,27.1,21.7,311,14843,3,308,264,14579,0,15154,,,,,,,,1.17,,,1.36,0.98,53.8,,,57.9,49.8,1,1,1486,4822.7,489.18,578.12,"",,,,25.8,23,,,,,,,1.26,1.07,,,55.9,51.8,
"F03",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",21.9,ddPCR Supermix for Probes (no dUTP),438,,,24.6,19.2,253,13468,5,248,252,13216,0.0233,13721,,,,,,,,0.98,,,1.16,0.81,49.6,,,53.9,45.3,1,1,1486,4843.8,490.96,571.22,"",,,,23.3,20.5,,,,,,,1.07,0.9,,,51.8,47.4,
"G03",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",23.7,ddPCR Supermix for Probes (no dUTP),474,,,26.3,21.2,335,16452,4,331,303,16149,0,16787,,,,,,,,1.09,,,1.26,0.92,52.2,,,56.1,48.3,1,1,1486,4866.2,484.15,571.6,"",,,,25,22.4,,,,,,,1.18,1.01,,,54.2,50.2,
"H03",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",23.1,ddPCR Supermix for Probes (no dUTP),462,,,25.8,20.4,284,14344,8,276,257,14087,0.238,14628,,,,,,,,1.07,,,1.25,0.89,51.7,,,55.9,47.6,1,1,1486,4847.5,481.67,566.43,"",,,,24.4,21.7,,,,,,,1.16,0.98,,,53.9,49.6,
"A02",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",20.6,ddPCR Supermix for Probes (no dUTP),412,,,23.3,17.9,222,12558,6,216,237,12321,0.17,12780,,,,,,,,0.91,,,1.08,0.75,47.7,,,52.3,43.2,1,1,1486,4959.4,536.55,613.38,"",,,,22,19.2,,,,,,,1,0.83,,,50,45.4,
"B02",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",22.5,ddPCR Supermix for Probes (no dUTP),450,,,25.2,19.7,256,13278,5,251,236,13042,0.0398,13534,,,,,,,,1.06,,,1.25,0.88,51.5,,,55.9,47.1,1,1,1486,4948.8,531.11,614.67,"",,,,23.9,21.1,,,,,,,1.16,0.97,,,53.8,49.3,
"C02",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",22.6,ddPCR Supermix for Probes (no dUTP),452,,,25.3,19.8,257,13268,2,255,234,13034,0,13525,,,,,,,,1.09,,,1.28,0.9,52.1,,,56.6,47.7,1,1,1486,4947.3,530.42,614.35,"",,,,24,21.2,,,,,,,1.19,0.99,,,54.4,49.9,
"D02",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",21.5,ddPCR Supermix for Probes (no dUTP),430,,,24,19,282,15294,6,276,263,15031,0.0884,15576,,,,,,,,1.05,,,1.22,0.87,51.2,,,55.4,47,1,1,1486,4907.5,522.27,601.67,"",,,,22.8,20.2,,,,,,,1.14,0.96,,,53.3,49.1,
"E02",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",21.4,ddPCR Supermix for Probes (no dUTP),428,,,24,18.8,258,14075,5,253,257,13818,0.0242,14333,,,,,,,,0.98,,,1.15,0.82,49.6,,,53.9,45.3,1,1,1486,4909.9,518.52,597.57,"",,,,22.7,20,,,,,,,1.07,0.9,,,51.8,47.4,
"F02",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",22.8,ddPCR Supermix for Probes (no dUTP),456,,,25.4,20.1,288,14747,13,275,278,14469,0.604,15035,,,,,,,,0.99,,,1.15,0.83,49.7,,,53.8,45.7,1,1,1486,4872.3,515.49,598.94,"",,,,24.1,21.4,,,,,,,1.07,0.91,,,51.8,47.7,
"G02",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",20.4,ddPCR Supermix for Probes (no dUTP),408,,,22.9,17.9,253,14485,6,247,285,14200,0.0832,14738,,,,,,,,0.87,,,1.01,0.72,46.5,,,50.7,42.3,1,1,1486,4943.2,513.19,589.24,"",,,,21.7,19.1,,,,,,,0.94,0.79,,,48.6,44.3,
"H02",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",22.5,ddPCR Supermix for Probes (no dUTP),450,,,25,20,312,16129,7,305,258,15871,0.146,16441,,,,,,,,1.18,,,1.37,0.99,54.1,,,58.2,50,1,1,1486,4879.8,504.05,587.09,"",,,,23.8,21.3,,,,,,,1.28,1.08,,,56.2,52,
"A01",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",20.7,ddPCR Supermix for Probes (no dUTP),414,,,23.3,18.2,249,13995,4,245,270,13725,0,14244,,,,,,,,0.91,,,1.06,0.75,47.6,,,51.9,43.3,1,1,1486,5070.3,586.44,664.82,"",,,,22.1,19.4,,,,,,,0.99,0.83,,,49.8,45.4,
"B01",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",23.6,ddPCR Supermix for Probes (no dUTP),472,,,26.3,20.9,297,14675,5,292,257,14418,0,14972,,,,,,,,1.13,,,1.32,0.95,53.2,,,57.3,49,1,1,1486,5014,573.94,662.02,"",,,,24.9,22.2,,,,,,,1.23,1.04,,,55.3,51,
"C01",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",22.3,ddPCR Supermix for Probes (no dUTP),446,,,25,19.6,259,13531,7,252,268,13263,0.163,13790,,,,,,,,0.94,,,1.1,0.78,48.5,,,52.7,44.2,1,1,1486,4921.7,574.36,656.01,"",,,,23.7,20.9,,,,,,,1.02,0.86,,,50.6,46.3,
"D01",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",21,ddPCR Supermix for Probes (no dUTP),420,,,23.6,18.5,258,14316,4,254,302,14014,0,14574,,,,,,,,0.84,,,0.98,0.7,45.7,,,49.8,41.6,1,1,1486,4982.5,563.94,642.17,"",,,,22.3,19.7,,,,,,,0.91,0.77,,,47.8,43.6,
"E01",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",22.1,ddPCR Supermix for Probes (no dUTP),442,,,24.9,19.4,252,13267,5,247,251,13016,0.0206,13519,,,,,,,,0.98,,,1.16,0.81,49.6,,,54,45.3,1,1,1486,4935,551.59,633.3,"",,,,23.5,20.7,,,,,,,1.07,0.9,,,51.8,47.4,
"F01",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",22.7,ddPCR Supermix for Probes (no dUTP),454,,,25.3,20.2,307,15741,7,300,309,15432,0.0728,16048,,,,,,,,0.97,,,1.12,0.82,49.3,,,53.2,45.3,1,1,1486,5002.7,551.06,636.22,"",,,,24,21.4,,,,,,,1.05,0.89,,,51.3,47.3,
"G01",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",20.4,ddPCR Supermix for Probes (no dUTP),408,,,22.9,18,272,15534,5,267,275,15259,0.014,15806,,,,,,,,0.97,,,1.13,0.81,49.3,,,53.4,45.1,1,1,1486,4977.6,540.32,616.68,"",,,,21.7,19.2,,,,,,,1.05,0.89,,,51.4,47.1,
"H01",Absolute Quantification,"ABS","NIPT004-2nd",Ch1Unknown,"NIPT4_2FAM","Manual",23.4,ddPCR Supermix for Probes (no dUTP),468,,,25.9,20.8,330,16453,11,319,291,16162,0.369,16783,,,,,,,,1.09,,,1.26,0.92,52.2,,,56.1,48.3,1,1,1486,5051.5,539.01,627.74,"",,,,24.6,22.1,,,,,,,1.18,1.01,,,54.2,50.2,
"E05",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",20.8,ddPCR Supermix for Probes (no dUTP),416,,,23.6,18.1,220,12327,4,254,216,12073,0,12547,,,,,,,,1.17,,,1.39,0.96,54,,,58.5,49.5,1,1,1416,2403,996.34,1021,"",,,,22.2,19.4,,,,,,,1.28,1.07,,,56.3,51.7,
"F05",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",22.8,ddPCR Supermix for Probes (no dUTP),456,,,25.4,20.2,292,14912,8,309,284,14603,0.154,15204,,,,,,,,1.09,,,1.26,0.91,52.1,,,56,48.1,1,1,1416,2437.2,1013.5,1040.8,"",,,,24.2,21.5,,,,,,,1.17,1,,,54.1,50,
"A04",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",19.7,ddPCR Supermix for Probes (no dUTP),394,,,22.5,16.9,192,11377,6,216,186,11161,0.244,11569,,,,,,,,1.16,,,1.38,0.93,53.7,,,58.5,48.9,1,1,1416,2505.1,1004.6,1029.5,"",,,,21.1,18.3,,,,,,,1.27,1.04,,,56.1,51.2,
"B04",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",19.9,ddPCR Supermix for Probes (no dUTP),398,,,22.4,17.4,251,14713,4,298,247,14415,0,14964,,,,,,,,1.21,,,1.41,1,54.7,,,58.8,50.5,1,1,1416,2467,1001.1,1025.7,"",,,,21.2,18.6,,,,,,,1.31,1.1,,,56.8,52.5,
"C04",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",21.5,ddPCR Supermix for Probes (no dUTP),430,,,24.1,19,278,15044,3,270,275,14774,0,15322,,,,,,,,0.98,,,1.15,0.82,49.5,,,53.7,45.4,1,1,1416,2473.7,999.6,1026.3,"",,,,22.8,20.3,,,,,,,1.07,0.9,,,51.7,47.4,
"D04",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",22.1,ddPCR Supermix for Probes (no dUTP),442,,,25,19.2,228,12015,6,241,222,11774,0.14,12243,,,,,,,,1.08,,,1.28,0.89,52,,,56.5,47.5,1,1,1416,2421.9,992.37,1019,"",,,,23.6,20.7,,,,,,,1.18,0.98,,,54.3,49.7,
"E04",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",22.5,ddPCR Supermix for Probes (no dUTP),450,,,25.3,19.7,250,12968,4,256,246,12712,0,13218,,,,,,,,1.04,,,1.22,0.86,51,,,55.3,46.7,1,1,1416,2441.6,996.87,1024.2,"",,,,23.9,21,,,,,,,1.13,0.95,,,53.2,48.8,
"F04",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",19.5,ddPCR Supermix for Probes (no dUTP),390,,,22,17.1,253,15104,6,297,247,14807,0.0801,15357,,,,,,,,1.2,,,1.4,1,54.5,,,58.7,50.4,1,1,1416,2417.9,993.39,1016.9,"",,,,20.8,18.3,,,,,,,1.3,1.1,,,56.6,52.4,
"G04",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",20.8,ddPCR Supermix for Probes (no dUTP),416,,,23.3,18.4,284,15899,11,331,273,15568,0.378,16183,,,,,,,,1.21,,,1.4,1.02,54.7,,,58.6,50.8,1,1,1416,2441.7,1002,1027.2,"",,,,22.1,19.6,,,,,,,1.3,1.11,,,56.7,52.7,
"H04",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",21.9,ddPCR Supermix for Probes (no dUTP),438,,,24.7,19.1,235,12501,3,237,232,12264,0,12736,,,,,,,,1.02,,,1.21,0.84,50.5,,,55,46,1,1,1416,2426.8,991.6,1018.1,"",,,,23.3,20.5,,,,,,,1.12,0.93,,,52.8,48.2,
"A03",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",21.1,ddPCR Supermix for Probes (no dUTP),422,,,24,18.3,209,11529,6,215,203,11314,0.215,11738,,,,,,,,1.06,,,1.26,0.86,51.4,,,56.1,46.7,1,1,1416,2470.1,990.33,1016.7,"",,,,22.6,19.7,,,,,,,1.16,0.96,,,53.8,49,
"B03",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",21.3,ddPCR Supermix for Probes (no dUTP),426,,,23.9,18.7,264,14445,8,276,256,14169,0.241,14709,,,,,,,,1.08,,,1.26,0.9,51.8,,,56,47.7,1,1,1416,2473.1,992.05,1018.6,"",,,,22.6,20,,,,,,,1.17,0.98,,,54,49.7,
"C03",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",22.3,ddPCR Supermix for Probes (no dUTP),446,,,24.9,19.6,270,14134,5,258,265,13876,0.00595,14404,,,,,,,,0.97,,,1.14,0.81,49.3,,,53.6,45.1,1,1,1416,2459.2,991.25,1018.8,"",,,,23.6,20.9,,,,,,,1.06,0.89,,,51.5,47.2,
"D03",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",20.8,ddPCR Supermix for Probes (no dUTP),416,,,25.6,16.5,82,4608,1,128,81,4480,0,4690,,,,,,,,1.58,,,2.02,1.14,61,,,68,55,1,1,1343,2177.5,905.51,927.75,"",,,,23.1,18.5,,,,,,,1.81,1.36,,,64.6,57.9,
"E03",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",20.9,ddPCR Supermix for Probes (no dUTP),418,,,23.4,18.4,267,14887,3,308,264,14579,0,15154,,,,,,,,1.17,,,1.36,0.98,53.8,,,57.9,49.8,1,1,1416,2465.7,993.65,1019.6,"",,,,22.2,19.6,,,,,,,1.26,1.07,,,55.9,51.8,
"F03",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",22.2,ddPCR Supermix for Probes (no dUTP),444,,,25,19.5,257,13464,5,248,252,13216,0.0233,13721,,,,,,,,0.98,,,1.16,0.81,49.6,,,53.9,45.3,1,1,1416,2482.6,1000.4,1028.1,"",,,,23.6,20.9,,,,,,,1.07,0.9,,,51.8,47.4,
"G03",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",21.7,ddPCR Supermix for Probes (no dUTP),434,,,24.1,19.3,307,16480,4,331,303,16149,0,16787,,,,,,,,1.09,,,1.26,0.92,52.2,,,56.1,48.3,1,1,1416,2461.3,990.85,1017.7,"",,,,23,20.5,,,,,,,1.18,1.01,,,54.2,50.2,
"H03",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",21.5,ddPCR Supermix for Probes (no dUTP),430,,,24.1,18.9,265,14363,8,276,257,14087,0.238,14628,,,,,,,,1.07,,,1.25,0.89,51.7,,,55.9,47.6,1,1,1416,2473.5,997.97,1024.7,"",,,,22.8,20.2,,,,,,,1.16,0.98,,,53.9,49.6,
"A02",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",22.6,ddPCR Supermix for Probes (no dUTP),452,,,25.4,19.7,243,12537,6,216,237,12321,0.17,12780,,,,,,,,0.91,,,1.08,0.75,47.7,,,52.3,43.2,1,1,1416,2531.6,992.16,1021.4,"",,,,24,21.1,,,,,,,1,0.83,,,50,45.4,
"B02",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",21.1,ddPCR Supermix for Probes (no dUTP),422,,,23.8,18.5,241,13293,5,251,236,13042,0.0398,13534,,,,,,,,1.06,,,1.25,0.88,51.5,,,55.9,47.1,1,1,1416,2488,993.92,1020.5,"",,,,22.5,19.8,,,,,,,1.16,0.97,,,53.8,49.3,
"C02",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",20.7,ddPCR Supermix for Probes (no dUTP),414,,,23.4,18.1,236,13289,2,255,234,13034,0,13525,,,,,,,,1.09,,,1.28,0.9,52.1,,,56.6,47.7,1,1,1416,2502.2,993.45,1019.8,"",,,,22.1,19.4,,,,,,,1.19,0.99,,,54.4,49.9,
"D02",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",20.5,ddPCR Supermix for Probes (no dUTP),410,,,22.9,18,269,15307,6,276,263,15031,0.0884,15576,,,,,,,,1.05,,,1.22,0.87,51.2,,,55.4,47,1,1,1416,2493.7,993.56,1019.5,"",,,,21.7,19.2,,,,,,,1.14,0.96,,,53.3,49.1,
"E02",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",21.7,ddPCR Supermix for Probes (no dUTP),434,,,24.3,19.1,262,14071,5,253,257,13818,0.0242,14333,,,,,,,,0.98,,,1.15,0.82,49.6,,,53.9,45.3,1,1,1416,2500.3,999.13,1026.6,"",,,,23,20.4,,,,,,,1.07,0.9,,,51.8,47.4,
"F02",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",23,ddPCR Supermix for Probes (no dUTP),460,,,25.6,20.4,291,14744,13,275,278,14469,0.604,15035,,,,,,,,0.99,,,1.15,0.83,49.7,,,53.8,45.7,1,1,1416,2467,997.16,1025.6,"",,,,24.3,21.6,,,,,,,1.07,0.91,,,51.8,47.7,
"G02",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",23.5,ddPCR Supermix for Probes (no dUTP),470,,,26.2,20.8,291,14447,6,247,285,14200,0.0832,14738,,,,,,,,0.87,,,1.01,0.72,46.5,,,50.7,42.3,1,1,1416,2480.7,997.77,1027,"",,,,24.8,22.1,,,,,,,0.94,0.79,,,48.6,44.3,
"H02",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",19.1,ddPCR Supermix for Probes (no dUTP),382,,,21.4,16.8,265,16176,7,305,258,15871,0.146,16441,,,,,,,,1.18,,,1.37,0.99,54.1,,,58.2,50,1,1,1416,2487.5,991.38,1015.5,"",,,,20.3,17.9,,,,,,,1.28,1.08,,,56.2,52,
"A01",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",22.9,ddPCR Supermix for Probes (no dUTP),458,,,25.6,20.1,274,13970,4,245,270,13725,0,14244,,,,,,,,0.91,,,1.06,0.75,47.6,,,51.9,43.3,1,1,1416,2514.5,970.78,1000.5,"",,,,24.2,21.5,,,,,,,0.99,0.83,,,49.8,45.4,
"B01",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",20.8,ddPCR Supermix for Probes (no dUTP),416,,,23.3,18.3,262,14710,5,292,257,14418,0,14972,,,,,,,,1.13,,,1.32,0.95,53.2,,,57.3,49,1,1,1416,2497,974.63,1001.3,"",,,,22.1,19.5,,,,,,,1.23,1.04,,,55.3,51,
"C01",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",23.7,ddPCR Supermix for Probes (no dUTP),474,,,26.5,20.9,275,13515,7,252,268,13263,0.163,13790,,,,,,,,0.94,,,1.1,0.78,48.5,,,52.7,44.2,1,1,1416,2458.6,981.83,1011.3,"",,,,25.1,22.3,,,,,,,1.02,0.86,,,50.6,46.3,
"D01",Absolute Quantification,"ABS","NIPT004-2nd",Ch2Unknown,"NIPT4_2VIC","Manual",25,ddPCR Supermix for Probes (no dUTP),500,,,27.8,22.2,306,14268,4,254,302,14014,0,14574,,,,,,,,0.84,,,0.98,0.7,45.7,,,49.8,41.6,1,1,1416,2482.8,979.18,1010.8,"",,,,26.4,23.5,,,,,,,0.91,0.77,,,47.8,43.6,
